datetime,Open,High,Low,Close,Volume,symbol
2014-01-14 00:00,103.109,104.284,103.011,104.184,54835,USDJPYm
2014-01-15 00:00,104.176,104.690,104.086,104.584,47300,USDJPYm
2014-01-16 00:00,104.585,104.917,104.144,104.288,49319,USDJPYm
2014-01-17 00:00,104.287,104.464,104.189,104.246,40131,USDJPYm
2014-01-19 00:00,104.123,104.313,104.109,104.237,2194,USDJPYm
2014-01-20 00:00,104.241,104.263,103.857,104.240,27650,USDJPYm
2014-01-21 00:00,104.241,104.744,104.019,104.214,47889,USDJPYm
2014-01-22 00:00,104.215,104.683,103.967,104.644,36830,USDJPYm
2014-01-23 00:00,104.644,104.834,102.968,103.380,77088,USDJPYm
2014-01-24 00:00,103.381,103.577,101.995,102.309,95507,USDJPYm
2014-01-26 00:00,102.324,102.331,101.757,102.097,8305,USDJPYm
2014-01-27 00:00,102.097,102.924,102.048,102.666,72318,USDJPYm
2014-01-28 00:00,102.659,103.439,102.521,103.239,52748,USDJPYm
2014-01-29 00:00,103.241,103.363,101.843,102.276,47190,USDJPYm
2014-01-30 00:00,102.277,102.887,102.076,102.727,66847,USDJPYm
2014-01-31 00:00,102.729,102.927,101.928,101.933,68225,USDJPYm
2014-02-02 00:00,101.952,102.229,101.908,102.229,3289,USDJPYm
2014-02-03 00:00,102.233,102.403,100.770,101.178,85089,USDJPYm
2014-02-04 00:00,101.172,101.758,100.750,101.688,77002,USDJPYm
2014-02-05 00:00,101.687,101.689,100.798,101.464,83819,USDJPYm
2014-02-06 00:00,101.465,102.169,101.237,102.034,74059,USDJPYm
2014-02-07 00:00,102.036,102.575,101.433,102.292,74756,USDJPYm
2014-02-09 00:00,102.479,102.636,102.405,102.499,3807,USDJPYm
2014-02-10 00:00,102.493,102.525,101.989,102.131,53191,USDJPYm
2014-02-11 00:00,102.131,102.698,102.069,102.524,53731,USDJPYm
2014-02-12 00:00,102.523,102.639,102.220,102.461,35755,USDJPYm
2014-02-13 00:00,102.460,102.526,101.693,102.170,66215,USDJPYm
2014-02-14 00:00,102.173,102.397,101.565,101.781,61176,USDJPYm
2014-02-16 00:00,101.628,101.811,101.526,101.528,2509,USDJPYm
2014-02-17 00:00,101.529,102.125,101.377,102.071,25860,USDJPYm
2014-02-18 00:00,102.069,102.738,101.748,102.305,69147,USDJPYm
2014-02-19 00:00,102.299,102.462,101.845,102.302,39496,USDJPYm
2014-02-20 00:00,102.303,102.415,101.664,102.313,72142,USDJPYm
2014-02-21 00:00,102.314,102.823,102.313,102.457,56410,USDJPYm
2014-02-23 00:00,102.440,102.580,102.409,102.530,1157,USDJPYm
2014-02-24 00:00,102.529,102.676,102.161,102.498,52820,USDJPYm
2014-02-25 00:00,102.501,102.620,101.999,102.149,50100,USDJPYm
2014-02-26 00:00,102.148,102.606,102.097,102.294,59669,USDJPYm
2014-02-27 00:00,102.295,102.439,101.719,102.110,49325,USDJPYm
2014-02-28 00:00,102.111,102.290,101.548,101.749,67669,USDJPYm
2014-03-02 00:00,101.558,101.665,101.246,101.329,6418,USDJPYm
2014-03-03 00:00,101.330,101.558,101.197,101.412,63742,USDJPYm
2014-03-04 00:00,101.412,102.280,101.412,102.206,61178,USDJPYm
2014-03-05 00:00,102.200,102.546,102.110,102.353,45965,USDJPYm
2014-03-06 00:00,102.354,103.164,102.323,103.053,58524,USDJPYm
2014-03-07 00:00,103.052,103.756,102.834,103.205,58168,USDJPYm
2014-03-09 00:00,103.026,103.252,103.013,103.171,4668,USDJPYm
2014-03-10 00:00,103.170,103.403,102.928,103.252,54915,USDJPYm
2014-03-11 00:00,103.252,103.419,102.769,102.845,57515,USDJPYm
2014-03-12 00:00,102.845,103.092,102.544,102.816,61440,USDJPYm
2014-03-13 00:00,102.813,102.858,101.536,101.771,78750,USDJPYm
2014-03-14 00:00,101.772,101.848,101.204,101.339,74878,USDJPYm
2014-03-16 00:00,101.265,101.431,101.260,101.355,4304,USDJPYm
2014-03-17 00:00,101.354,101.910,101.336,101.896,62716,USDJPYm
2014-03-18 00:00,101.894,101.935,101.273,101.468,64113,USDJPYm
2014-03-19 00:00,101.467,102.675,101.292,102.428,68016,USDJPYm
2014-03-20 00:00,102.428,102.543,102.208,102.396,64548,USDJPYm
2014-03-21 00:00,102.395,102.401,102.011,102.226,40749,USDJPYm
2014-03-23 00:00,102.141,102.276,102.087,102.262,2955,USDJPYm
2014-03-24 00:00,102.262,102.641,102.124,102.237,57273,USDJPYm
2014-03-25 00:00,102.232,102.484,102.132,102.293,50473,USDJPYm
2014-03-26 00:00,102.292,102.467,101.846,101.911,32126,USDJPYm
2014-03-27 00:00,101.907,102.428,101.713,102.155,63469,USDJPYm
2014-03-28 00:00,102.156,102.975,102.026,102.816,48153,USDJPYm
2014-03-30 00:00,102.925,102.946,102.839,102.892,3424,USDJPYm
2014-03-31 00:00,102.891,103.433,102.789,103.209,54001,USDJPYm
2014-04-01 00:00,103.210,103.707,103.082,103.637,48433,USDJPYm
2014-04-02 00:00,103.637,103.928,103.582,103.865,46201,USDJPYm
